,Match,Team1,Team2,Match_Date,Team1_Recent_form,Team2_Recent_form,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Head_to_Head_Team1_result_percentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
355,2022SwivsCam,Switzerland,Cameroon,11/24/2022,3.0,2.0,15,43,1,3,1,2,0.0,Win,12,26
356,2022BravsSer,Brazil,Serbia,11/24/2022,5.0,4.5,1,21,4,9,1,3,0.9,Win,3,19
357,2022CamvsSer,Cameroon,Serbia,11/28/2022,1.0,3.5,43,21,1,2,1,3,0.0,Draw,26,19
358,2022BravsSwi,Brazil,Switzerland,11/28/2022,5.0,4.0,1,15,4,9,1,3,0.555556,Win,3,12
359,2022ServsSwi,Serbia,Switzerland,12/2/2022,3.5,3.0,21,15,1,3,1,3,0.5,Loss,19,12
360,2022CamvsBra,Cameroon,Brazil,12/2/2022,1.5,5.0,43,1,1,2,4,9,0.166667,Win,26,3
361,2022UruvsSK,Uruguay,South Korea,11/24/2022,3.5,3.5,14,28,2,4,1,2,0.8125,Draw,11,21
362,2022PorvsGha,Portugal,Ghana,11/24/2022,3.0,2.5,9,61,3,6,1,2,1.0,Win,7,27
363,2022SKvsGha,South Korea,Ghana,11/28/2022,3.0,2.5,28,61,1,2,1,2,0.5,Loss,21,27
364,2022PorvsUru,Portugal,Uruguay,11/28/2022,3.0,3.0,9,14,3,6,2,4,0.5,Win,7,11
365,2022GhavsUru,Ghana,Uruguay,12/2/2022,3.0,2.5,61,14,1,2,2,4,0.5,Loss,27,11
366,2022SKvsPor,South Korea,Portugal,12/2/2022,3.0,4.0,28,9,1,2,3,6,1.0,Win,21,7
367,2022NethvsUs,Netherlands,United States,12/3/2022,4.5,2.5,8,16,2,5,1,3,0.8,Win,8,17
368,2022ArgvsAus,Argentina,Australia,12/3/2022,4.0,4.0,3,38,3,6,0,1,0.785714,Win,5,29
369,2022JapvsCro,Japan,Croatia,12/5/2022,2.5,4.0,24,12,0,2,2,4,0.5,Draw,20,10
370,2022BravsSK,Brazil,South Korea,12/5/2022,4.0,3.5,1,28,4,9,1,2,0.857143,Win,3,21
371,2022EngvsSen,England,Senegal,12/4/2022,3.0,3.5,5,18,2,6,1,3,0.0,Win,9,15
372,2022FravsPol,France,Poland,12/4/2022,3.0,3.5,4,26,4,8,1,2,0.65625,Win,4,13
373,2022MorvsSpa,Morocco,Spain,12/6/2022,4.0,3.5,22,7,1,3,2,6,0.166667,Draw,16,6
374,2022PorvsSwi,Portugal,Switzerland,12/6/2022,3.0,3.0,9,15,3,6,1,3,0.46,Win,7,12
375,2022NethvsArg,Netherlands,Argentina,12/9/2022,4.5,4.0,8,3,2,5,3,6,0.666667,Draw,8,5
376,2022CrovsBra,Croatia,Brazil,12/9/2022,3.5,4.0,12,1,2,4,4,9,0.125,Draw,10,3
377,2022EngvsFra,England,France,12/10/2022,4.0,3.0,5,4,2,6,4,8,0.606061,Loss,9,4
378,2022MorvsPor,Morocco,Portugal,12/10/2022,4.0,4.0,22,9,1,3,3,6,0.5,Win,16,7
379,2022ArgvsCro,Argentina,Croatia,12/13/2022,3.5,3.0,3,12,3,6,2,4,0.5,Win,5,10
380,2022FravsMor,France,Morocco,12/14/2022,4.0,4.0,4,22,4,8,1,3,0.8,Win,4,16
381,2022_Final_ArgvsFra,Argentina,France,12/18/2022,4.5,4.0,3,4,3,6,4,8,0.625,Draw,5,4
382,2022CrovsMor,Croatia,Morocco,12/17/2022,2.5,3.5,12,22,2,4,1,3,0.5,Win,10,16
