Match,Team1,Team2,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Team1_Recent_form,Team2_Recent_form,Head_to_Head_Team1_result_precentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
2006SpavsUk,Spain,Ukraine,5,45,4,5,2,2,,,,1,4,15
2006TunvsSa,Tunisia,Saudi arabia,21,34,0,0,0,0,,,,0,26,31
2006SAvsUk,Saudi arabia,Ukraine,34,45,0,0,2,2,,,,-1,31,15
2006SpavsTun,Spain,Tunisia,5,21,4,5,0,0,,,,1,4,26
2006SAvspai,Saudi arabia,Spain,34,5,0,0,4,5,,,,-1,31,4
2006UkvsTun,Ukraine,Tunisia,45,21,2,2,0,0,,,,1,15,26
2006GervsSWe,Germany,Sweden,19,16,4,5,2,2,,,,1,2,11
2006ArgvsMex,Argentina,Mexico,9,4,5,6,2,2,,,,1,9,12
2006ItavsAus,Italy,Australia,13,42,5,6,1,1,,,,1,1,17
2006SwivsUK,Switzerland,Ukraine,35,45,1,1,2,2,,,,0,13,15
2006EngvsEcu,England,Ecuador,10,39,4,5,1,1,,,,1,5,23
2006PorvsNeth,Portugal,Netherlands,7,3,4,5,4,5,,,,1,8,10
2006BravsGha,Brazil,Ghana,1,48,6,8,2,2,,,,1,6,19
2006SpavsFra,Spain,France,5,8,4,5,5,6,,,,-1,4,3
2006GervsArg,Germany,Argentina,19,9,4,5,5,6,,,,0,2,9
2006ItavsUk,Italy,Ukraine,13,45,5,6,2,2,,,,1,1,15
2006EngvsPor,England,Portugal,10,7,4,5,4,5,,,,0,5,8
2006BravsFra,Brazil,France,1,8,6,8,5,6,,,,-1,6,3
2006GervsIta,Germany,Italy,19,13,4,5,5,6,,,,-1,2,1
2006PorvsFra,Portugal,France,7,8,4,5,5,6,,,,-1,8,3
2006Final_ItavsFra,Italy,France,13,8,5,6,5,6,,,,0,1,3
2006GervsPor,Germany,Portugal,19,7,4,5,4,5,,,,1,2,8
2010SFvsMex,South Africa,Mexico,83,17,0,0,1,2,,,,0,29,14
2010UrgvsFra,Uruguay,France,16,9,1,2,2,3,,,,0,7,13
2010SFvsUrg,South Africa,Uruguay,83,16,0,0,1,2,,,,-1,29,7
2010FravsMex,France,Mexico,9,17,2,3,1,2,,,,-1,13,14
2010MexvsUrg,Mexico,Uruguay,17,16,1,2,1,2,,,,-1,14,7
2010FravsSUF,France,South Africa,9,83,2,3,0,0,,,,-1,13,29
2010SKvsGree,South Korea,Greece,47,13,0,1,0,1,,,,1,20,19
2010ArgvsNidg,Argentina,Nigeria,7,21,2,4,1,2,,,,1,15,31
2010ArgvsSK,Argentina,South Korea,7,47,2,4,0,1,,,,1,15,20
2010GreevsNig,Greece,Nigeria,13,21,0,1,1,2,,,,1,19,31
2010NigvsSK,Nigeria,South Korea,21,47,1,2,0,1,,,,0,31,20
2010GreevsArg,Greece,Argentina,13,7,0,1,2,4,,,,-1,19,15
2010EngvsUs,England,United states,8,14,2,4,1,1,,,,0,12,15
2010AlgvsSlov,Algeria,Slovenia,30,25,0,0,0,0,,,,-1,22,23
2010SlovsUs,Slovenia,United states,25,14,0,0,1,1,,,,0,23,15
2010EngvsAlg,England,Algeria,8,30,2,4,0,0,,,,0,12,22
2010SlovsEng,Slovenia,England,25,8,0,0,2,4,,,,-1,23,12
2010USvsAlg,United States,Algeria,14,30,1,1,0,0,,,,1,15,22
2010ServsGha,Serbia,Ghana,15,32,0,1,1,2,,,,-1,25,16
2010GervsAus,Germany,Australia,6,20,2,4,0,1,,,,1,11,9
2010GervsSer,Germany,Serbia,6,15,2,4,0,1,,,,-1,11,25
2010GhavsAus,Ghana,Australia,32,20,1,2,0,1,,,,0,16,9
2010GhavsGer,Ghana,Germany,32,6,1,2,2,4,,,,-1,16,11
2010AusvsSer,Australia,Serbia,20,15,0,1,0,1,,,,1,9,25
2010NethvsDen,Netherlands,Denmark,4,36,3,5,1,2,,,,1,4,21
2010JapvsCam,Japan,Cameroon,45,19,0,0,1,2,,,,1,25,17
2010NethvsJap,Netherlands,Japan,4,45,3,5,0,0,,,,1,4,25
2010CamvsDen,Cameroon,Denmark,19,36,1,2,1,2,,,,-1,17,21
2010DenvsJap,Denmark,Japan,36,45,1,2,0,0,,,,-1,21,25
2010CamvsNeth,Cameroon,Netherlands,19,4,1,2,3,5,,,,-1,17,4
2010ItavsPara,Italy,Paraguay,5,31,2,3,0,1,,,,0,9,18
2010NzvsSlo,New Zealand,Slovakia,78,34,0,0,0,0,,,,0,30,26
2010SlovsPara,Slovakia,Paraguay,34,31,0,0,0,1,,,,-1,26,18
2010ItavsNz,Italy,New Zealand,5,78,2,3,0,0,,,,0,9,30
2010SlovsIta,Slovakia,Italy,34,5,0,0,2,3,,,,1,26,9
2010ParavsNw,Paraguay,New Zealand,31,78,0,1,0,0,,,,0,18,30
